Station name,S,Down_in,Down_out,Up_in,Up_out,D(s)
Kawasaki,s1,112978,0,0,111413,224391
Shitte,s2,9154,10679,11215,8429,39477
Yakou,s3,6760,11206,11181,6593,35740
Kashimada,s4,10077,7035,6813,10052,33977
Hirama,s5,7593,5458,5538,7653,26242
Mukaigawara,s6,5207,1877,2191,4836,14111
Musashi Kosugi,s7,94613,30822,29816,96442,251693
Musashi Nakahara,s8,13148,26797,27272,12925,80142
Musashi Shinjo,s9,11803,26082,25991,11752,75628
Musashi Mizonokuchi,s10,46981,44442,42919,48462,182804
Tsudayama,s11,1583,2393,2504,1551,8031
Kuji,s12,2745,8854,9194,2739,23532
Shukugawara,s13,3986,4712,4737,3779,17214
Noborito,s14,33627,72499,69998,35740,211864
Nakanoshima,s15,1653,10193,10363,1715,23924
Inadazutsumi,s16,5370,19354,19978,5454,50156
Yanokuchi,s17,2926,7473,7638,3007,21044
Inagi-Naganuma,s18,3368,6350,6432,3517,19667
Minamitama,s19,3174,4140,4242,3335,14891
Fuchu Honmachi,s20,6710,26581,26650,8237,68178
Bubaigawara,s21,18381,14230,19213,13451,65275
Nishifu,s22,4295,5827,5206,3888,19216
Yaho,s23,2770,5188,4753,2777,15488
Yagawa,s24,5711,3286,3055,5654,17706
Nishi-Kunitachi,s25,6063,3203,2941,6156,18363
Tachikawa,s26,0,61995,59717,0,121712
